"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: arraySize"
"org.tastytruffle.benchmarks.ResizableArrayBenchmark.benchmarkTruffleDoubleReverse","thrpt",1,10,1714.947983,8.791645,"ops/s",500000
"org.tastytruffle.benchmarks.ResizableArrayBenchmark.benchmarkTruffleDoubleReverse","thrpt",1,10,1434.302199,13.112726,"ops/s",600000
"org.tastytruffle.benchmarks.ResizableArrayBenchmark.benchmarkTruffleDoubleReverse","thrpt",1,10,1237.247562,16.906712,"ops/s",700000
"org.tastytruffle.benchmarks.ResizableArrayBenchmark.benchmarkTruffleDoubleReverse","thrpt",1,10,1090.543306,6.100115,"ops/s",800000
"org.tastytruffle.benchmarks.ResizableArrayBenchmark.benchmarkTruffleDoubleReverse","thrpt",1,10,933.550362,1.992789,"ops/s",900000
"org.tastytruffle.benchmarks.ResizableArrayBenchmark.benchmarkTruffleDoubleReverse","thrpt",1,10,520.675900,7.979959,"ops/s",1250000
"org.tastytruffle.benchmarks.ResizableArrayBenchmark.benchmarkTruffleDoubleReverse","thrpt",1,10,379.612712,4.312440,"ops/s",1500000
"org.tastytruffle.benchmarks.ResizableArrayBenchmark.benchmarkTruffleDoubleReverse","thrpt",1,10,314.105163,9.414624,"ops/s",1750000
"org.tastytruffle.benchmarks.ResizableArrayBenchmark.benchmarkTruffleIntAppend","thrpt",1,10,188.988886,3.487082,"ops/s",200000
"org.tastytruffle.benchmarks.ResizableArrayBenchmark.benchmarkTruffleIntAppend","thrpt",1,10,119.206991,2.013667,"ops/s",300000
"org.tastytruffle.benchmarks.ResizableArrayBenchmark.benchmarkTruffleIntAppend","thrpt",1,10,83.332979,24.606513,"ops/s",400000
"org.tastytruffle.benchmarks.ResizableArrayBenchmark.benchmarkTruffleIntAppend","thrpt",1,10,63.527451,21.004607,"ops/s",500000
"org.tastytruffle.benchmarks.ResizableArrayBenchmark.benchmarkTruffleIntAppend","thrpt",1,10,40.791885,10.240781,"ops/s",600000
"org.tastytruffle.benchmarks.ResizableArrayBenchmark.benchmarkTruffleIntAppend","thrpt",1,10,33.549163,0.804448,"ops/s",700000
"org.tastytruffle.benchmarks.ResizableArrayBenchmark.benchmarkTruffleIntAppend","thrpt",1,10,28.460020,1.650223,"ops/s",800000
"org.tastytruffle.benchmarks.ResizableArrayBenchmark.benchmarkTruffleIntAppend","thrpt",1,10,26.666793,0.564197,"ops/s",900000
